 1.0000668     0.0012056
 0.9957238     0.0020917
 0.9878299     0.0036897
 0.9782439     0.0056083
 0.9675385     0.0077288
 0.9561980     0.0099518
 0.9445548     0.0122085
 0.9328014     0.0144613
 0.9210028     0.0166979
 0.9091500     0.0189193
 0.8972398     0.0211243
 0.8852849     0.0233092
 0.8733048     0.0254697
 0.8613217     0.0276010
 0.8493551     0.0296990
 0.8374146     0.0317613
 0.8254999     0.0337872
 0.8136056     0.0357771
 0.8017241     0.0377317
 0.7898491     0.0396517
 0.7779828     0.0415365
 0.7661366     0.0433843
 0.7543210     0.0451923
 0.7425371     0.0469594
 0.7307780     0.0486859
 0.7190345     0.0503722
 0.7072974     0.0520192
 0.6955609     0.0536272
 0.6838262     0.0551959
 0.6721008     0.0567240
 0.6603893     0.0582101
 0.6486903     0.0596538
 0.6369985     0.0610551
 0.6253109     0.0624136
 0.6136258     0.0637286
 0.6019399     0.0650001
 0.5902447     0.0662285
 0.5785318     0.0674146
 0.5668015     0.0685583
 0.5550645     0.0696582
 0.5433312     0.0707122
 0.5316039     0.0717191
 0.5198797     0.0726784
 0.5081568     0.0735894
 0.4964372     0.0744514
 0.4847234     0.0752631
 0.4730164     0.0760233
 0.4613155     0.0767305
 0.4496213     0.0773837
 0.4379353     0.0779817
 0.4262596     0.0785238
 0.4145939     0.0790086
 0.4029365     0.0794320
 0.3912864     0.0797876
 0.3796450     0.0800690
 0.3680148     0.0802713
 0.3563975     0.0803931
 0.3447934     0.0804329
 0.3332023     0.0803893
 0.3216239     0.0802605
 0.3100585     0.0800443
 0.2985074     0.0797386
 0.2869736     0.0793411
 0.2754604     0.0788496
 0.2639710     0.0782614
 0.2525080     0.0775740
 0.2410747     0.0767842
 0.2296744     0.0758893
 0.2183115     0.0748858
 0.2069911     0.0737705
 0.1957196     0.0725399
 0.1845036     0.0711901
 0.1733500     0.0697168
 0.1622666     0.0681155
 0.1512626     0.0663811
 0.1403490     0.0645087
 0.1295390     0.0624929
 0.1188487     0.0603276
 0.1082976     0.0580072
 0.0979106     0.0555259
 0.0877168     0.0528791
 0.0777530     0.0500620
 0.0680617     0.0470710
 0.0587229     0.0439136
 0.0498805     0.0406252
 0.0416917     0.0372628
 0.0342675     0.0338802
 0.0276549     0.0305228
 0.0219756     0.0272866
 0.0173285     0.0243093
 0.0136112     0.0216247
 0.0106000     0.0191775
 0.0081108     0.0168888
 0.0060347     0.0147015
 0.0043400     0.0126295
 0.0030095     0.0107156
 0.0020033     0.0089797
 0.0012621     0.0074092
 0.0007255     0.0059659
 0.0003480     0.0046142
 0.0001002     0.0033215
-0.0000329     0.0020549
-0.0000523     0.0007734
 0.0000572    -0.0005563
 0.0003151    -0.0019217
 0.0007317    -0.0033084
 0.0013181    -0.0047062
 0.0020891    -0.0061062
 0.0030731    -0.0075141
 0.0043073    -0.0089490
 0.0058226    -0.0104161
 0.0076783    -0.0119324
 0.0099560    -0.0135226
 0.0127688    -0.0152025
 0.0162713    -0.0169807
 0.0206497    -0.0188722
 0.0261472    -0.0208727
 0.0329722    -0.0229469
 0.0411460    -0.0250071
 0.0505348    -0.0269647
 0.0608135    -0.0287323
 0.0716798    -0.0302782
 0.0829432    -0.0316028
 0.0944628    -0.0327225
 0.1061588    -0.0336579
 0.1179763    -0.0344305
 0.1298782    -0.0350588
 0.1418403    -0.0355598
 0.1538466    -0.0359471
 0.1658882    -0.0362335
 0.1779597    -0.0364292
 0.1900579    -0.0365439
 0.2021809    -0.0365856
 0.2143262    -0.0365615
 0.2264911    -0.0364780
 0.2386729    -0.0363411
 0.2508694    -0.0361562
 0.2630787    -0.0359280
 0.2752998    -0.0356609
 0.2875319    -0.0353587
 0.2997749    -0.0350252
 0.3120290    -0.0346642
 0.3242936    -0.0342789
 0.3365664    -0.0338726
 0.3488433    -0.0334479
 0.3611197    -0.0330074
 0.3733920    -0.0325541
 0.3856576    -0.0320909
 0.3979152    -0.0316193
 0.4101652    -0.0311359
 0.4224084    -0.0306359
 0.4346466    -0.0301163
 0.4468813    -0.0295777
 0.4591133    -0.0290225
 0.4713416    -0.0284526
 0.4835649    -0.0278695
 0.4957826    -0.0272740
 0.5079950    -0.0266671
 0.5202028    -0.0260500
 0.5324063    -0.0254238
 0.5446055    -0.0247899
 0.5568004    -0.0241493
 0.5689909    -0.0235026
 0.5811765    -0.0228508
 0.5933560    -0.0221946
 0.6055282    -0.0215350
 0.6176928    -0.0208730
 0.6298503    -0.0202093
 0.6420015    -0.0195446
 0.6541460    -0.0188793
 0.6662826    -0.0182140
 0.6784103    -0.0175495
 0.6905292    -0.0168864
 0.7026401    -0.0162255
 0.7147437    -0.0155670
 0.7268406    -0.0149115
 0.7389318    -0.0142592
 0.7510188    -0.0136103
 0.7631026    -0.0129649
 0.7751834    -0.0123231
 0.7872601    -0.0116852
 0.7993305    -0.0110516
 0.8113919    -0.0104226
 0.8234413    -0.0097984
 0.8354762    -0.0091793
 0.8474949    -0.0085660
 0.8594973    -0.0079592
 0.8714856    -0.0073590
 0.8834640    -0.0067650
 0.8954374    -0.0061770
 0.9074103    -0.0055946
 0.9193835    -0.0050175
 0.9313481    -0.0044450
 0.9432775    -0.0038777
 0.9550901    -0.0033194
 0.9666247    -0.0027778
 0.9775643    -0.0022657
 0.9873846    -0.0018043
 0.9954780    -0.0014198
 0.9999328    -0.0012056
